basDt,srtnCd,itmsNm,fltRt,clpr,lstgStCnt,justification
2025-08-08,086460,큐러블,-44.08,699,146970,원인 불명 이상치 (데이터 수집 노이즈/검토 필요)
2025-08-11,086460,큐러블,-57.51,297,146970,원인 불명 이상치 (데이터 수집 노이즈/검토 필요)
2025-08-12,086460,큐러블,34.34,399,146970,원인 불명 이상치 (데이터 수집 노이즈/검토 필요)
2025-08-13,086460,큐러블,-66.17,135,146970,원인 불명 이상치 (데이터 수집 노이즈/검토 필요)
2025-08-14,086460,큐러블,-57.78,57,146970,원인 불명 이상치 (데이터 수집 노이즈/검토 필요)
2025-10-16,091090,세원이앤씨,-78.66,271,52754723,원인 불명 이상치 (데이터 수집 노이즈/검토 필요)
2025-10-23,091090,세원이앤씨,-37.61,136,52754723,원인 불명 이상치 (데이터 수집 노이즈/검토 필요)
2025-09-02,093230,이아이디,-96.41,50,254384360,원인 불명 이상치 (데이터 수집 노이즈/검토 필요)
2025-09-03,093230,이아이디,110.0,105,254384360,원인 불명 이상치 (데이터 수집 노이즈/검토 필요)
2025-09-09,093230,이아이디,-36.27,65,254384360,원인 불명 이상치 (데이터 수집 노이즈/검토 필요)
2025-09-10,093230,이아이디,-49.23,33,254384360,원인 불명 이상치 (데이터 수집 노이즈/검토 필요)
2025-09-01,096040,이트론,-94.83,14,906131295,원인 불명 이상치 (데이터 수집 노이즈/검토 필요)
2025-09-03,096040,이트론,45.45,16,906131295,원인 불명 이상치 (데이터 수집 노이즈/검토 필요)
2025-09-08,096040,이트론,-44.44,10,906131295,원인 불명 이상치 (데이터 수집 노이즈/검토 필요)
2025-09-09,096040,이트론,-50.0,5,906131295,원인 불명 이상치 (데이터 수집 노이즈/검토 필요)
2025-01-24,096250,와이즈넛,-36.47,10800,13065612,신규상장 첫날 (공모가 60~400% 제한폭 적용)
2025-03-20,098070,한텍,144.44,26400,11121141,신규상장 첫날 (공모가 60~400% 제한폭 적용)
2025-11-19,102280,쌍방울,-67.1,885,26259210,원인 불명 이상치 (데이터 수집 노이즈/검토 필요)
2025-11-20,102280,쌍방울,-42.15,512,26259210,원인 불명 이상치 (데이터 수집 노이즈/검토 필요)
2025-11-27,102280,쌍방울,-34.78,450,26259210,원인 불명 이상치 (데이터 수집 노이즈/검토 필요)
