basDt,2차전지/화학,IT/반도체,건설/부동산,금융/지주,기계/유틸리티,기타/서비스,미디어/컨텐츠/게임,바이오/헬스케어,소비재/유통/식음료,자동차/운송장비,철강/소재
2025-01-02,0.43981132075471696,1.761596958174905,1.6764556962025317,0.2955123674911661,3.239237804878049,0.8101293103448276,2.1089527027027026,1.16716,1.061720430107527,1.6968055555555557,1.0828994082840235
2025-01-03,2.241207547169811,2.335475285171103,0.5220253164556963,0.5370318021201413,1.4559756097560976,0.9834626436781609,1.3637162162162162,1.56644,1.280215053763441,0.7594444444444445,1.0963905325443786
2025-01-06,1.577433962264151,2.862851711026616,0.3369620253164557,0.6817314487632509,1.9416768292682927,1.0151149425287356,1.6141891891891893,2.78528,0.11623655913978496,0.6438194444444444,0.6453846153846154
2025-01-07,0.030150943396226412,-0.49992395437262355,0.9016455696202532,0.006607773851590101,0.21301829268292685,0.15591954022988505,-0.20148648648648648,0.009280000000000002,0.19344086021505374,0.28868055555555555,0.02994082840236686
2025-01-08,0.824943396226415,1.0298859315589355,-0.34164556962025316,-0.009575971731448772,0.8964024390243902,0.28719424460431653,-0.2756081081081081,0.09147999999999999,0.6535483870967742,0.44972222222222225,-0.11502958579881656
2025-01-09,0.22826415094339622,-0.6608745247148289,0.09531645569620255,-0.12530035335689046,0.8004878048780488,0.047856115107913676,-0.6786486486486486,0.53712,0.0160215053763441,0.075625,0.10106508875739643
2025-01-10,-0.17135849056603772,0.011140684410646378,0.3711392405063291,0.18508833922261483,0.28152439024390247,0.31864748201438853,-0.08412162162162162,-0.84384,0.1095698924731183,1.065,0.6801183431952662
2025-01-13,-0.9435094339622642,-2.199277566539924,-1.2050632911392405,-0.4853710247349823,-1.076768292682927,-0.555021582733813,-1.50875,-1.05416,-0.6479569892473118,-0.6389583333333333,-0.074792899408284
2025-01-14,0.8579622641509435,0.5323574144486692,-0.18113924050632912,0.14190812720848056,0.969329268292683,0.5852086330935252,0.5951013513513513,0.08298804780876494,0.2696774193548387,1.1421527777777778,0.8453254437869824
2025-01-15,-0.6213962264150944,-0.43250950570342206,-1.369367088607595,-0.16646643109540635,-0.3729878048780488,-0.39423021582733814,-0.2651013513513514,-1.3947410358565737,-0.25354838709677413,-0.6275,0.10349112426035505
2025-01-16,1.4344528301886792,1.4080988593155892,0.35822784810126584,0.36568904593639573,1.160670731707317,0.5397985611510792,1.4168918918918918,1.1763745019920318,0.5688172043010753,0.16104166666666667,0.7444970414201184
2025-01-17,0.17732075471698114,0.3738783269961977,-0.678860759493671,0.22028268551236752,0.8996951219512196,-0.13284892086330935,-0.34,-0.6510756972111553,-0.2643010752688172,0.1363888888888889,0.6497041420118344
2025-01-20,0.7681509433962265,0.9756273764258554,-0.7712658227848102,-0.15201413427561836,0.22009146341463415,-0.24594244604316548,-0.13993243243243245,-0.5673705179282869,-0.42107526881720425,0.005000000000000006,0.43053254437869815
2025-01-21,-1.1189056603773584,-0.1338783269961977,-0.3449367088607595,0.04326241134751774,-0.03128048780487805,-0.11227011494252874,-0.4508445945945946,-0.1352589641434263,-0.27698924731182795,-0.35694444444444445,0.15207100591715975
2025-01-22,0.16860377358490566,0.8926996197718631,-0.12240506329113925,-0.007446808510638294,0.9403658536585365,-0.21031609195402298,0.47652027027027033,-0.5469721115537848,-0.8312903225806452,0.5125,-0.22449704142011837
